,count,mean,std,min,25%,50%,75%,max,moda,varianza,price
latitude,17713.0,40.42053493479366,0.02263473636565465,40.33221,40.40904,40.41898,40.42961,40.56274,40.42165,0.0005123312903426891,
longitude,17713.0,-3.695012942471631,0.027647834928693105,-3.86391,-3.70786,-3.70134,-3.68747,-3.5319,-3.707,0.0007644027762442625,
price,17713.0,62.57042849884266,39.666796467677,0.0,32.0,52.0,82.0,197.0,50.0,1573.4547420081126,
minimum_nights,17713.0,6.601309772483487,31.451298769839262,1.0,1.0,2.0,3.0,1125.0,1.0,989.1841943096927,
number_of_reviews,17713.0,33.85281996273923,65.86082120628535,0.0,0.0,5.0,35.0,706.0,0.0,4337.647769966286,
reviews_per_month,17713.0,0.8522734714616383,1.2784182650248532,0.0,0.0,0.27,1.16,16.22,0.0,1.6343532603491557,
calculated_host_listings_count,17713.0,10.162253711962965,23.261969462739952,1.0,1.0,2.0,7.0,163.0,1.0,541.1192232854461,
availability_365,17713.0,157.34313780838932,144.06147540249813,0.0,0.0,122.0,319.0,365.0,0.0,20753.70869514457,
Q1_target,,,,,,,,,,,32.0
Q3_target,,,,,,,,,,,82.0
IQR_target,,,,,,,,,,,50.0
skewness_target,,,,,,,,,,,1.1104471888832326
kurtosis_target,,,,,,,,,,,0.7807158564236842
